ISO_A2,University,Count,Country,Region,Population
US,California Polytechnic State University - San Luis Obispo,2074,United States of America,Americas,#N/A
US,California School of Professional Psychology - Berkley/Alameda,2074,United States of America,Americas,#N/A
US,California School of Professional Psychology - Fresno,2074,United States of America,Americas,#N/A
US,California School of Professional Psychology - Los Angels,2074,United States of America,Americas,#N/A
US,California School of Professional Psychology - San Diego,2074,United States of America,Americas,#N/A
US,California State Polytechnic University - Pomona,2074,United States of America,Americas,#N/A
US,"California State University, Bakersfield",2074,United States of America,Americas,#N/A
US,"California State University, Channel Islands",2074,United States of America,Americas,#N/A
US,"California State University, Chico",2074,United States of America,Americas,#N/A
US,"California State University, Dominguez Hills",2074,United States of America,Americas,#N/A
US,"California State University, Fresno",2074,United States of America,Americas,#N/A
US,"California State University, Fullerton",2074,United States of America,Americas,#N/A
US,"California State University, Hayward",2074,United States of America,Americas,#N/A
US,"California State University, Long Beach",2074,United States of America,Americas,#N/A
US,"California State University, Los Angeles",2074,United States of America,Americas,#N/A
US,"California State University, Monterey Bay",2074,United States of America,Americas,#N/A
US,"California State University, Northridge",2074,United States of America,Americas,#N/A
US,"California State University, Sacramento",2074,United States of America,Americas,#N/A
US,"California State University, San Bernadino",2074,United States of America,Americas,#N/A
US,"California State University, San Marcos",2074,United States of America,Americas,#N/A
US,"California State University, Stanislaus",2074,United States of America,Americas,#N/A
US,California University of Management and Sciences,2074,United States of America,Americas,#N/A
US,California University of Pennsylvania,2074,United States of America,Americas,#N/A
US,California Western School of Law,2074,United States of America,Americas,#N/A
US,Calumet College of St. Joseph,2074,United States of America,Americas,#N/A
US,Calvary Bible College,2074,United States of America,Americas,#N/A
US,Calvin College,2074,United States of America,Americas,#N/A
US,Cambridge College,2074,United States of America,Americas,#N/A
US,Cameron University,2074,United States of America,Americas,#N/A
US,Campbellsville College,2074,United States of America,Americas,#N/A
US,Campbell University,2074,United States of America,Americas,#N/A
US,Canisius College,2074,United States of America,Americas,#N/A
US,Capella University,2074,United States of America,Americas,#N/A
US,Capital University,2074,United States of America,Americas,#N/A
US,Capital University Law School,2074,United States of America,Americas,#N/A
US,Capitol College,2074,United States of America,Americas,#N/A
US,Cardinal Stritch University,2074,United States of America,Americas,#N/A
US,Carleton College,2074,United States of America,Americas,#N/A
US,Carlos Albizu University,2074,United States of America,Americas,#N/A
US,Carlow College,2074,United States of America,Americas,#N/A
US,Carnegie Mellon University,2074,United States of America,Americas,#N/A
US,Carroll College Helena,2074,United States of America,Americas,#N/A
US,Carroll College Waukesha,2074,United States of America,Americas,#N/A
US,Carson-Newman College,2074,United States of America,Americas,#N/A
US,Carthage College,2074,United States of America,Americas,#N/A
US,Case Western Reserve University,2074,United States of America,Americas,#N/A
US,Castleton State College,2074,United States of America,Americas,#N/A
US,Catawba College,2074,United States of America,Americas,#N/A
US,Catholic Theological Union,2074,United States of America,Americas,#N/A
US,Cedar Crest College,2074,United States of America,Americas,#N/A
US,Cedarville College,2074,United States of America,Americas,#N/A
US,Centenary College,2074,United States of America,Americas,#N/A
US,Centenary College of Louisiana,2074,United States of America,Americas,#N/A
US,Center for Humanistic Studies,2074,United States of America,Americas,#N/A
US,Central Baptist College,2074,United States of America,Americas,#N/A
US,Central Bible College,2074,United States of America,Americas,#N/A
US,Central Christian College of the Bible,2074,United States of America,Americas,#N/A
US,Central College,2074,United States of America,Americas,#N/A
US,Central Connecticut State University,2074,United States of America,Americas,#N/A
US,Central Methodist College,2074,United States of America,Americas,#N/A
US,Central Michigan University,2074,United States of America,Americas,#N/A
US,Central State University,2074,United States of America,Americas,#N/A
US,Central Washington University,2074,United States of America,Americas,#N/A
US,Centre College,2074,United States of America,Americas,#N/A
US,Chadron State College,2074,United States of America,Americas,#N/A
US,Chaminade University of Honolulu,2074,United States of America,Americas,#N/A
US,Champlain College,2074,United States of America,Americas,#N/A
US,Chapman University,2074,United States of America,Americas,#N/A
US,Charles R. Drew University of Medicine and Science,2074,United States of America,Americas,#N/A
US,Charleston Southern University,2074,United States of America,Americas,#N/A
US,Charter Oak State College,2074,United States of America,Americas,#N/A
US,Chatham College,2074,United States of America,Americas,#N/A
US,Chestnut Hill College,2074,United States of America,Americas,#N/A
US,Cheyney University of Pennsylvania,2074,United States of America,Americas,#N/A
US,Chicago State University,2074,United States of America,Americas,#N/A
US,Chowan College,2074,United States of America,Americas,#N/A
US,Christendom College,2074,United States of America,Americas,#N/A
US,Christian Brothers University,2074,United States of America,Americas,#N/A
US,Christian Heritage College,2074,United States of America,Americas,#N/A
US,Christopher Newport University,2074,United States of America,Americas,#N/A
