ISO_A2,University,Count,Country
GB,University of East Anglia,169,United Kingdom
GB,University of East London,169,United Kingdom
GB,University of Edinburgh,169,United Kingdom
GB,University of Essex,169,United Kingdom
GB,University of Exeter,169,United Kingdom
GB,University of Glamorgan,169,United Kingdom
GB,University of Glasgow,169,United Kingdom
GB,University of Gloucestershire,169,United Kingdom
GB,University of Greenwich,169,United Kingdom
GB,"University of Halifax, Birmingham Campus",169,United Kingdom
GB,University of Hertfordshire,169,United Kingdom
GB,University of Huddersfield,169,United Kingdom
GB,University of Hull,169,United Kingdom
GB,University of Kent at Canterbury,169,United Kingdom
GB,University of Lancaster,169,United Kingdom
GB,University of Leeds,169,United Kingdom
GB,University of Leicester,169,United Kingdom
GB,University of Lincoln,169,United Kingdom
GB,University of Liverpool,169,United Kingdom
GB,University of London,169,United Kingdom
GB,University of Manchester,169,United Kingdom
GB,University of Newcastle-upon-Tyne,169,United Kingdom
GB,University of Northampton,169,United Kingdom
GB,University of North London,169,United Kingdom
GB,University of Northumbria at Newcastle,169,United Kingdom
GB,University of Nottingham,169,United Kingdom
GB,University of Oxford,169,United Kingdom
GB,University of Paisley,169,United Kingdom
GB,University of Plymouth,169,United Kingdom
GB,University of Portsmouth,169,United Kingdom
GB,University of Reading,169,United Kingdom
GB,University of Salford,169,United Kingdom
GB,University of Sheffield,169,United Kingdom
GB,University of Southampton,169,United Kingdom
GB,University of St. Andrews,169,United Kingdom
GB,University of Stirling,169,United Kingdom
GB,University of Strathclyde,169,United Kingdom
GB,University of Sunderland,169,United Kingdom
GB,University of Surrey,169,United Kingdom
GB,University of Sussex,169,United Kingdom
GB,University of Teesside,169,United Kingdom
GB,"University of the West of England, Bristol",169,United Kingdom
GB,University of Ulster,169,United Kingdom
GB,University of Wales,169,United Kingdom
GB,"University of Wales, Aberystwyth",169,United Kingdom
GB,"University of Wales, Bangor",169,United Kingdom
GB,University of Wales College of Medicine,169,United Kingdom
GB,"University of Wales Institute, Cardiff",169,United Kingdom
GB,"University of Wales, Lampeter",169,United Kingdom
GB,"University of Wales, Newport",169,United Kingdom
GB,"University of Wales, Swansea",169,United Kingdom
GB,University of Warwick,169,United Kingdom
GB,University of Westminster,169,United Kingdom
GB,University of Wolverhampton,169,United Kingdom
GB,University of Worcester,169,United Kingdom
GB,University of York,169,United Kingdom
GB,"Warburg Institute, University of London",169,United Kingdom
GB,Warnborough University,169,United Kingdom
GB,William Gilbert College,169,United Kingdom
GB,Wimbledon School of Art,169,United Kingdom
AE,Abu Dhabi University,36,United Arab Emirates
AE,Ajman University of Science & Technology,36,United Arab Emirates
AE,Alain University of Science and Technology,36,United Arab Emirates
AE,Al Ghurair University,36,United Arab Emirates
AE,Alhosn University,36,United Arab Emirates
AE,Al Khawarizmi International College,36,United Arab Emirates
AE,American College Of Dubai,36,United Arab Emirates
AE,American University in Dubai,36,United Arab Emirates
AE,American University in the Emirates,36,United Arab Emirates
AE,American University of Sharjah,36,United Arab Emirates
AE,British University in Dubai,36,United Arab Emirates
AE,Dubai Medical College for Girls,36,United Arab Emirates
AE,Dubai Pharmacy College,36,United Arab Emirates
AE,Etisalat University College,36,United Arab Emirates
AE,Gulf Medical University,36,United Arab Emirates
AE,Hamdan Bin Mohammed e-University,36,United Arab Emirates
AE,Higher Colleges of Technology,36,United Arab Emirates
AE,Ittihad University,36,United Arab Emirates
AE,Jumeira University,36,United Arab Emirates
AE,Khalifa University,36,United Arab Emirates
AE,"Khalifa University of Science, Technology and Research",36,United Arab Emirates
AE,Masdar University Of Science And Technology,36,United Arab Emirates
AE,"New York University, Abu Dhabi",36,United Arab Emirates
AE,Paris-Sorbonne University Abu Dhabi,36,United Arab Emirates
AE,Rak Medical & Health Sciences University,36,United Arab Emirates
